model,horizon,seed,split,mse,mae,run_dir,config_path,prediction_path
lstm,90,5,test,0.48963415105992864,0.5466456865573749,results/official_runs/official_lstm_h90/seed_5,results/official_runs/official_lstm_h90/seed_5/config.yaml,results/official_runs/official_lstm_h90/seed_5/predictions_test.npz
lstm_transformer_ensemble,365,1,train,0.5135630325373453,0.5444565852666176,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1/predictions_test.npz
lstm_transformer_ensemble,365,1,val,0.3815246071183683,0.473160267395883,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1/predictions_test.npz
lstm_transformer_ensemble,365,1,test,0.4170318404305382,0.502238570542988,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_1/predictions_test.npz
lstm_transformer_ensemble,365,2,train,0.49800937807655216,0.5384250935597933,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2/predictions_test.npz
lstm_transformer_ensemble,365,2,val,0.40027052206698127,0.48644421562746926,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2/predictions_test.npz
lstm_transformer_ensemble,365,2,test,0.43293153657526573,0.5073730636221077,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_2/predictions_test.npz
lstm_transformer_ensemble,365,3,train,0.5088253088786127,0.5429065197248071,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3/predictions_test.npz
lstm_transformer_ensemble,365,3,val,0.3902821327178181,0.47717499921617457,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3/predictions_test.npz
lstm_transformer_ensemble,365,3,test,0.42696215450895875,0.5012552325629273,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_3/predictions_test.npz
lstm_transformer_ensemble,365,4,train,0.49173505416082586,0.5370793145208829,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4/predictions_test.npz
lstm_transformer_ensemble,365,4,val,0.3673909668843806,0.4664120636721313,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4/predictions_test.npz
lstm_transformer_ensemble,365,4,test,0.4409302917453975,0.5152086093501101,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_4/predictions_test.npz
lstm_transformer_ensemble,365,5,train,0.5135283522132977,0.5443400098247767,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5/predictions_test.npz
lstm_transformer_ensemble,365,5,val,0.3759340880078077,0.46924867911095947,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5/predictions_test.npz
lstm_transformer_ensemble,365,5,test,0.504972061164779,0.5558428947698539,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h365/seed_5/predictions_test.npz
lstm_transformer_ensemble,90,1,train,0.5337958119956194,0.5536656179618035,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1/predictions_test.npz
lstm_transformer_ensemble,90,1,val,0.6844408404105075,0.6533129868202726,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1/predictions_test.npz
lstm_transformer_ensemble,90,1,test,0.37073467169056606,0.47517122477773654,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_1/predictions_test.npz
lstm_transformer_ensemble,90,2,train,0.5217941970593934,0.5471598931823756,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2/predictions_test.npz
lstm_transformer_ensemble,90,2,val,0.7281410146398032,0.6768496318148812,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2/predictions_test.npz
lstm_transformer_ensemble,90,2,test,0.35433047882119195,0.46228552912978715,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_2/predictions_test.npz
lstm_transformer_ensemble,90,3,train,0.5187938349695913,0.5454001276224301,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3/predictions_test.npz
lstm_transformer_ensemble,90,3,val,0.8406809167254772,0.7389215442240852,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3/predictions_test.npz
lstm_transformer_ensemble,90,3,test,0.3720395660028082,0.4795992670562091,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_3/predictions_test.npz
lstm_transformer_ensemble,90,4,train,0.6671812809956058,0.6287829988976005,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4/predictions_test.npz
lstm_transformer_ensemble,90,4,val,0.8232036823955219,0.7297283800113108,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4/predictions_test.npz
lstm_transformer_ensemble,90,4,test,0.4112016243076098,0.4951520796294177,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_4/predictions_test.npz
lstm_transformer_ensemble,90,5,train,0.5249056955568542,0.5478894594571171,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5/predictions_test.npz
lstm_transformer_ensemble,90,5,val,0.7388043885565672,0.6847337781049219,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5/predictions_test.npz
lstm_transformer_ensemble,90,5,test,0.3659115552498766,0.4722617287159222,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5/config.yaml,results/official_runs/official_lstm_transformer_ensemble_h90/seed_5/predictions_test.npz
tcn_transformer,365,1,train,0.4814796437666428,0.532816248035434,results/official_runs/official_tcn_transformer_h365/seed_1,results/official_runs/official_tcn_transformer_h365/seed_1/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_1/predictions_test.npz
tcn_transformer,365,1,val,0.382796804064359,0.47847992882200696,results/official_runs/official_tcn_transformer_h365/seed_1,results/official_runs/official_tcn_transformer_h365/seed_1/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_1/predictions_test.npz
tcn_transformer,365,1,test,0.5907848791695867,0.6061747458631989,results/official_runs/official_tcn_transformer_h365/seed_1,results/official_runs/official_tcn_transformer_h365/seed_1/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_1/predictions_test.npz
tcn_transformer,365,2,train,0.481938223782798,0.53275163717891,results/official_runs/official_tcn_transformer_h365/seed_2,results/official_runs/official_tcn_transformer_h365/seed_2/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_2/predictions_test.npz
tcn_transformer,365,2,val,0.3748740391710262,0.4712747339578201,results/official_runs/official_tcn_transformer_h365/seed_2,results/official_runs/official_tcn_transformer_h365/seed_2/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_2/predictions_test.npz
tcn_transformer,365,2,test,0.6113443371801182,0.6084837245846043,results/official_runs/official_tcn_transformer_h365/seed_2,results/official_runs/official_tcn_transformer_h365/seed_2/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_2/predictions_test.npz
tcn_transformer,365,3,train,0.5307177614361347,0.5563488628581564,results/official_runs/official_tcn_transformer_h365/seed_3,results/official_runs/official_tcn_transformer_h365/seed_3/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_3/predictions_test.npz
tcn_transformer,365,3,val,0.41477239757261497,0.4994497458966639,results/official_runs/official_tcn_transformer_h365/seed_3,results/official_runs/official_tcn_transformer_h365/seed_3/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_3/predictions_test.npz
tcn_transformer,365,3,test,0.7712832334669427,0.6959535716291204,results/official_runs/official_tcn_transformer_h365/seed_3,results/official_runs/official_tcn_transformer_h365/seed_3/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_3/predictions_test.npz
tcn_transformer,365,4,train,0.5325498382863684,0.5557786868952697,results/official_runs/official_tcn_transformer_h365/seed_4,results/official_runs/official_tcn_transformer_h365/seed_4/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_4/predictions_test.npz
tcn_transformer,365,4,val,0.38131334665010475,0.47696740238065116,results/official_runs/official_tcn_transformer_h365/seed_4,results/official_runs/official_tcn_transformer_h365/seed_4/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_4/predictions_test.npz
tcn_transformer,365,4,test,0.6316703870096108,0.635126414035682,results/official_runs/official_tcn_transformer_h365/seed_4,results/official_runs/official_tcn_transformer_h365/seed_4/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_4/predictions_test.npz
tcn_transformer,365,5,train,0.4903362792725083,0.538120899696107,results/official_runs/official_tcn_transformer_h365/seed_5,results/official_runs/official_tcn_transformer_h365/seed_5/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_5/predictions_test.npz
tcn_transformer,365,5,val,0.39934023367248056,0.49095797514090295,results/official_runs/official_tcn_transformer_h365/seed_5,results/official_runs/official_tcn_transformer_h365/seed_5/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_5/predictions_test.npz
tcn_transformer,365,5,test,0.6704842983001693,0.6461267447050841,results/official_runs/official_tcn_transformer_h365/seed_5,results/official_runs/official_tcn_transformer_h365/seed_5/config.yaml,results/official_runs/official_tcn_transformer_h365/seed_5/predictions_test.npz
tcn_transformer,90,1,train,0.6149315625504781,0.607640577744267,results/official_runs/official_tcn_transformer_h90/seed_1,results/official_runs/official_tcn_transformer_h90/seed_1/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_1/predictions_test.npz
tcn_transformer,90,1,val,1.3590250698999762,0.9713890506979708,results/official_runs/official_tcn_transformer_h90/seed_1,results/official_runs/official_tcn_transformer_h90/seed_1/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_1/predictions_test.npz
tcn_transformer,90,1,test,0.4918559897590552,0.5577545915388948,results/official_runs/official_tcn_transformer_h90/seed_1,results/official_runs/official_tcn_transformer_h90/seed_1/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_1/predictions_test.npz
tcn_transformer,90,2,train,0.4594673088154788,0.5172099376222886,results/official_runs/official_tcn_transformer_h90/seed_2,results/official_runs/official_tcn_transformer_h90/seed_2/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_2/predictions_test.npz
tcn_transformer,90,2,val,1.3918150198348689,0.9803768689794409,results/official_runs/official_tcn_transformer_h90/seed_2,results/official_runs/official_tcn_transformer_h90/seed_2/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_2/predictions_test.npz
tcn_transformer,90,2,test,0.4990406797817116,0.5787114541898536,results/official_runs/official_tcn_transformer_h90/seed_2,results/official_runs/official_tcn_transformer_h90/seed_2/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_2/predictions_test.npz
tcn_transformer,90,3,train,0.44859959117723053,0.5126303718512744,results/official_runs/official_tcn_transformer_h90/seed_3,results/official_runs/official_tcn_transformer_h90/seed_3/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_3/predictions_test.npz
tcn_transformer,90,3,val,1.8075627234939777,1.1456354381528073,results/official_runs/official_tcn_transformer_h90/seed_3,results/official_runs/official_tcn_transformer_h90/seed_3/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_3/predictions_test.npz
tcn_transformer,90,3,test,0.4912080385683479,0.5704554975242626,results/official_runs/official_tcn_transformer_h90/seed_3,results/official_runs/official_tcn_transformer_h90/seed_3/config.yaml,results/official_runs/official_tcn_transformer_h90/seed_3/predictions_test.npz
