horizon,seed,split,left_weight,right_weight,mse,mae
365,1,test,0.7,0.30000000000000004,0.424019260887839,0.5083940834155702
365,1,val,0.8,0.19999999999999996,0.4064830602238673,0.4915186158954094
365,1,test,0.8,0.19999999999999996,0.4298589733947093,0.5126757481757092
365,1,val,0.9,0.09999999999999998,0.41776780332243196,0.4997253073220366
365,1,test,0.9,0.09999999999999998,0.4372622971726768,0.5176991717494299
365,1,val,1.0,0.0,0.4305344692741474,0.508880375539962
365,1,test,1.0,0.0,0.44622925094728,0.5234545074684664
365,2,val,0.0,1.0,0.395170902303457,0.48611947110590875
365,2,test,0.0,1.0,0.45402752828592063,0.521809562112993
365,2,val,0.1,0.9,0.39251321258177113,0.4837680016561007
365,2,test,0.1,0.9,0.4430254331430726,0.5146317789723719
365,2,val,0.2,0.8,0.3916945460874538,0.48259018578576784
365,2,test,0.2,0.8,0.4354143958061417,0.5094748018580214
365,2,val,0.3,0.7,0.39271490267293574,0.4825971765561068
365,2,test,0.3,0.7,0.4311944053655447,0.5064783286821002
365,2,val,0.4,0.6,0.3955742794225022,0.4838308032733077
365,2,test,0.4,0.6,0.43036547034659206,0.5057412402367731
365,2,val,0.5,0.5,0.4002726826744232,0.48644545619368335
365,2,test,0.5,0.5,0.4329275833404306,0.5073701871745918
365,2,val,0.6,0.4,0.40681010520587507,0.4905608122961616
365,2,test,0.6,0.4,0.438880752613358,0.5113080243178343
365,2,val,0.7,0.30000000000000004,0.4151865526739709,0.49612991640151644
365,2,test,0.7,0.30000000000000004,0.4482249674713197,0.5174693896849852
365,2,val,0.8,0.19999999999999996,0.4254020221805674,0.5031056637314175
365,2,test,0.8,0.19999999999999996,0.46096024096996546,0.5257942148835966
365,2,val,0.9,0.09999999999999998,0.43745651725504886,0.5113688894328554
365,2,test,0.9,0.09999999999999998,0.47708655792224497,0.5359949248221614
365,2,val,1.0,0.0,0.451350031052105,0.5208419873940258
365,2,test,1.0,0.0,0.4966039360891407,0.547845952842652
365,3,val,0.0,1.0,0.3983116773557975,0.4868501143782517
365,3,test,0.0,1.0,0.520945971865656,0.562184823765035
365,3,val,0.1,0.9,0.3937267291499551,0.4829676950851569
365,3,test,0.1,0.9,0.4945567116374619,0.5460927850884755
365,3,val,0.2,0.8,0.3906309013134055,0.4799968736475546
365,3,test,0.2,0.8,0.4719638366573159,0.5317367543293484
365,3,val,0.3,0.7,0.38902419817704575,0.4779553926575906
365,3,test,0.3,0.7,0.45316732819668526,0.5193477836960552
365,3,val,0.4,0.6,0.3889066145625657,0.4769651088991815
365,3,test,0.4,0.6,0.4381672027452595,0.509127167490038
365,3,val,0.5,0.5,0.3902781573329449,0.47717207123022715
365,3,test,0.5,0.5,0.42696344590552304,0.5012559748555917
365,3,val,0.6,0.4,0.39313881886457713,0.4785678914539632
365,3,test,0.6,0.4,0.41955606877056184,0.4958774070013466
365,3,val,0.7,0.30000000000000004,0.3974886053242494,0.4812172596709757
365,3,test,0.7,0.30000000000000004,0.4159450648217498,0.4932456596487026
365,3,val,0.8,0.19999999999999996,0.40332751307629894,0.48510698188608625
365,3,test,0.8,0.19999999999999996,0.41613043813467226,0.49345148052823135
365,3,val,0.9,0.09999999999999998,0.4106555450281008,0.4902397890317379
365,3,test,0.9,0.09999999999999998,0.4201121822116833,0.4961365973207204
365,3,val,1.0,0.0,0.4194726969043741,0.4965448603415537
365,3,test,1.0,0.0,0.4278903082351829,0.5011065018271273
365,4,val,0.0,1.0,0.36865315967162754,0.46792682694411586
365,4,test,0.0,1.0,0.4753243144772649,0.533291265991877
365,4,val,0.1,0.9,0.3651587482926035,0.4651945414472446
365,4,test,0.1,0.9,0.4642125016303889,0.5269108908279323
365,4,val,0.2,0.8,0.36328561050583924,0.4637221591840993
365,4,test,0.2,0.8,0.4552167595095174,0.5218882201093715
365,4,val,0.3,0.7,0.3630337452169409,0.463482863898458
365,4,test,0.3,0.7,0.44833706675619744,0.5182123919703925
365,4,val,0.4,0.6,0.3644031524234631,0.4644038613977015
365,4,test,0.4,0.6,0.4435734414032297,0.5159800549358049
365,4,val,0.5,0.5,0.3673938331346236,0.46641420709311543
365,4,test,0.5,0.5,0.4409258667143987,0.5152060238787878
365,4,val,0.6,0.4,0.37200578676222956,0.4695017528455087
365,4,test,0.6,0.4,0.44039435940030225,0.5158151862996904
365,4,val,0.7,0.30000000000000004,0.378239011781601,0.4737158590494643
365,4,test,0.7,0.30000000000000004,0.44197890391785144,0.5178562211138116
365,4,val,0.8,0.19999999999999996,0.3860935114780148,0.47902156118763767
365,4,test,0.8,0.19999999999999996,0.4456795145820064,0.5213251213426241
365,4,val,0.9,0.09999999999999998,0.39556928253691676,0.4854241486828773
365,4,test,0.9,0.09999999999999998,0.45149617582284746,0.5259810515900413
365,4,val,1.0,0.0,0.4066663282402092,0.49284731222068834
365,4,test,1.0,0.0,0.4594289067506983,0.5317451342179933
365,5,val,0.0,1.0,0.3801531396948629,0.4703426748190057
365,5,test,0.0,1.0,0.4427697578381353,0.5084808815917866
365,5,val,0.1,0.9,0.3774994851942913,0.4686977073759705
365,5,test,0.1,0.9,0.4473794904927944,0.5128530721496438
365,5,val,0.2,0.8,0.3757508553113722,0.4677982461513487
365,5,test,0.2,0.8,0.4559041377161337,0.5199994595959755
365,5,val,0.3,0.7,0.37490725410446213,0.4676099926369878
365,5,test,0.3,0.7,0.4683436913041325,0.5296709271512682
365,5,val,0.4,0.6,0.37496867819634455,0.46811491894280005
365,5,test,0.4,0.6,0.4846981532011873,0.5417227683902703
